Subscription.Type,Monthly.Revenue,Days.Joined,Last.Payment.Date,Country,Age,Gender,Device,Plan.Duration
Standard,10,1817,28-06-23,Mexico,50,Male,Smartphone,1 Month
Standard,10,484,29-06-23,Spain,38,Male,Smartphone,1 Month
Basic,15,604,30-06-23,Italy,29,Male,Smartphone,1 Month
Premium,15,286,30-06-23,Spain,47,Female,Smart TV,1 Month
Basic,15,506,30-06-23,Spain,31,Female,Tablet,1 Month
Standard,13,389,28-06-23,United States,40,Male,Tablet,1 Month
Premium,14,522,1/7/2023,Canada,50,Male,Laptop,1 Month
Basic,11,209,30-06-23,United States,43,Female,Tablet,1 Month
Basic,12,170,29-06-23,United States,35,Female,Laptop,1 Month
Basic,11,1001,29-06-23,Canada,36,Male,Laptop,1 Month
Standard,15,724,30-06-23,United Kingdom,30,Male,Smartphone,1 Month
Premium,13,1437,30-06-23,Australia,47,Female,Smartphone,1 Month
Basic,12,1526,30-06-23,Germany,30,Female,Laptop,1 Month
Basic,11,451,1/7/2023,France,37,Male,Smart TV,1 Month
Premium,15,1716,30-06-23,Brazil,34,Male,Smartphone,1 Month
Standard,15,1026,30-06-23,Mexico,33,Female,Smart TV,1 Month
Standard,10,1439,29-06-23,Spain,31,Male,Tablet,1 Month
Basic,13,550,3/7/2023,Italy,30,Female,Smartphone,1 Month
Premium,10,1405,29-06-23,Spain,35,Male,Smartphone,1 Month
Standard,14,1868,2/7/2023,Spain,40,Female,Tablet,1 Month
Basic,13,92,29-06-23,United States,29,Male,Smartphone,1 Month
Standard,14,1487,3/7/2023,Canada,34,Female,Smart TV,1 Month
Premium,12,60,29-06-23,United States,31,Male,Laptop,1 Month
Basic,15,1522,1/7/2023,United States,28,Male,Laptop,1 Month
Premium,12,1883,29-06-23,Canada,46,Female,Smart TV,1 Month
Standard,11,2078,2/7/2023,United Kingdom,38,Male,Smartphone,1 Month
Basic,13,1865,30-06-23,Australia,35,Female,Laptop,1 Month
Standard,15,1934,3/7/2023,Germany,49,Male,Smartphone,1 Month
Premium,13,1817,29-06-23,France,42,Male,Smartphone,1 Month
Basic,14,94,2/7/2023,Brazil,37,Female,Laptop,1 Month
Standard,13,1329,1/7/2023,Mexico,39,Female,Smartphone,1 Month
Premium,10,555,2/7/2023,Spain,47,Female,Smart TV,1 Month
Basic,12,1079,29-06-23,Italy,49,Male,Smartphone,1 Month
Premium,12,905,1/7/2023,Spain,35,Male,Laptop,1 Month
Basic,11,841,30-06-23,Spain,36,Female,Smart TV,1 Month
Standard,11,765,2/7/2023,United States,40,Male,Tablet,1 Month
Standard,10,493,29-06-23,Canada,30,Female,Smart TV,1 Month
Basic,13,1147,30-06-23,United States,51,Female,Smart TV,1 Month
Premium,15,2042,30-06-23,United States,47,Male,Laptop,1 Month
Basic,12,821,1/7/2023,Canada,47,Female,Laptop,1 Month
Standard,14,618,30-06-23,United Kingdom,39,Male,Tablet,1 Month
Premium,10,390,30-06-23,Australia,49,Male,Smart TV,1 Month
Basic,12,1888,1/7/2023,Germany,33,Male,Laptop,1 Month
Premium,10,742,30-06-23,France,32,Female,Smart TV,1 Month
Basic,15,705,30-06-23,Brazil,40,Male,Smartphone,1 Month
Standard,14,620,30-06-23,Mexico,40,Female,Laptop,1 Month
Standard,12,1729,30-06-23,Spain,51,Female,Tablet,1 Month
Basic,13,500,1/7/2023,Italy,50,Male,Smart TV,1 Month
Premium,14,297,1/7/2023,Spain,50,Female,Smart TV,1 Month
Basic,14,1607,1/7/2023,Spain,47,Male,Smartphone,1 Month
Standard,12,1088,30-06-23,United States,35,Male,Laptop,1 Month
Premium,11,1023,1/7/2023,Canada,31,Male,Tablet,1 Month
Basic,15,370,1/7/2023,United States,36,Male,Smartphone,1 Month
Premium,10,2190,1/7/2023,United States,41,Female,Smart TV,1 Month
Basic,13,2168,30-06-23,Canada,49,Female,Tablet,1 Month
Standard,12,1025,1/7/2023,United Kingdom,34,Female,Tablet,1 Month
Standard,15,2071,1/7/2023,Australia,30,Female,Tablet,1 Month
Basic,13,1072,2/7/2023,Germany,38,Male,Laptop,1 Month
Premium,11,1517,29-06-23,France,45,Male,Tablet,1 Month
Basic,14,1849,1/7/2023,Brazil,42,Female,Laptop,1 Month
Standard,10,883,1/7/2023,Mexico,42,Female,Smart TV,1 Month
Premium,10,113,2/7/2023,Spain,31,Male,Smart TV,1 Month
Basic,14,503,29-06-23,Italy,28,Male,Smart TV,1 Month
Premium,11,1169,30-06-23,Spain,44,Male,Tablet,1 Month
Basic,13,2140,1/7/2023,Spain,30,Male,Smart TV,1 Month
Standard,13,522,2/7/2023,United States,33,Male,Smartphone,1 Month
Standard,12,975,29-06-23,Canada,42,Female,Tablet,1 Month
Basic,11,322,30-06-23,United States,31,Male,Smart TV,1 Month
Premium,11,1493,1/7/2023,United States,31,Female,Smartphone,1 Month
Basic,13,525,1/7/2023,Canada,46,Female,Smart TV,1 Month
Standard,15,418,29-06-23,United Kingdom,28,Female,Tablet,1 Month
Premium,11,240,29-06-23,Australia,50,Male,Tablet,1 Month
Basic,11,68,2/7/2023,Germany,34,Male,Tablet,1 Month
Premium,15,1251,30-06-23,France,45,Female,Smart TV,1 Month
Basic,12,2159,30-06-23,Brazil,38,Female,Laptop,1 Month
Standard,13,314,29-06-23,Mexico,42,Female,Laptop,1 Month
Standard,10,1383,1/7/2023,Spain,45,Female,Smartphone,1 Month
Basic,10,577,30-06-23,Italy,44,Male,Smart TV,1 Month
Premium,14,2018,30-06-23,Spain,50,Female,Smart TV,1 Month
Basic,15,527,30-06-23,Spain,38,Male,Tablet,1 Month
Standard,13,1074,1/7/2023,United States,42,Female,Smart TV,1 Month
Premium,13,1634,1/7/2023,Canada,50,Male,Smart TV,1 Month
Basic,10,549,30-06-23,United States,30,Male,Smartphone,1 Month
Basic,10,1607,1/7/2023,United States,47,Female,Smartphone,1 Month
Basic,14,1487,30-06-23,Canada,32,Female,Laptop,1 Month
Standard,11,948,2/7/2023,United Kingdom,31,Female,Tablet,1 Month
Premium,15,1910,29-06-23,Australia,37,Male,Laptop,1 Month
Basic,14,467,3/7/2023,Germany,32,Female,Smartphone,1 Month
Basic,12,1043,30-06-23,France,29,Male,Smartphone,1 Month
Premium,12,475,2/7/2023,Brazil,28,Male,Tablet,1 Month
Standard,11,413,29-06-23,Mexico,42,Male,Laptop,1 Month
Standard,12,2141,3/7/2023,Spain,37,Male,Tablet,1 Month
Basic,13,1790,30-06-23,Italy,38,Female,Laptop,1 Month
Premium,13,620,2/7/2023,Spain,32,Male,Smart TV,1 Month
Standard,15,842,30-06-23,Spain,48,Male,Laptop,1 Month
Basic,13,1286,3/7/2023,United States,46,Female,Smart TV,1 Month
Standard,14,1103,1/7/2023,Canada,30,Male,Tablet,1 Month
Premium,10,722,3/7/2023,United States,40,Female,Smart TV,1 Month
Basic,13,1283,29-06-23,United States,29,Male,Smart TV,1 Month
Premium,15,1076,2/7/2023,Canada,41,Male,Tablet,1 Month
Standard,15,1163,1/7/2023,United Kingdom,32,Male,Laptop,1 Month
Basic,12,693,2/7/2023,Australia,44,Female,Smart TV,1 Month
Standard,15,203,29-06-23,Germany,41,Male,Laptop,1 Month
Premium,12,978,1/7/2023,France,50,Female,Smartphone,1 Month
Basic,14,2105,30-06-23,Brazil,33,Female,Tablet,1 Month
Standard,10,163,2/7/2023,Mexico,34,Female,Smart TV,1 Month
Premium,15,581,29-06-23,Spain,40,Male,Smartphone,1 Month
Basic,14,1998,1/7/2023,Italy,34,Female,Tablet,1 Month
Premium,14,89,1/7/2023,Spain,27,Female,Smart TV,1 Month
Basic,13,1905,1/7/2023,Spain,34,Male,Tablet,1 Month
Standard,13,1009,30-06-23,United States,28,Male,Tablet,1 Month
Standard,14,520,1/7/2023,Canada,37,Female,Smart TV,1 Month
Basic,10,756,1/7/2023,United States,27,Female,Laptop,1 Month
Premium,13,1954,2/7/2023,United States,33,Female,Laptop,1 Month
Basic,11,148,2/7/2023,Canada,42,Male,Laptop,1 Month
Standard,11,689,1/7/2023,United Kingdom,49,Male,Smartphone,1 Month
Premium,13,1489,30-06-23,Australia,44,Male,Smart TV,1 Month
Basic,10,1022,1/7/2023,Germany,47,Male,Laptop,1 Month
Premium,13,982,2/7/2023,France,33,Male,Laptop,1 Month
Basic,11,722,2/7/2023,Brazil,37,Male,Smart TV,1 Month
Standard,10,1347,1/7/2023,Mexico,35,Male,Laptop,1 Month
Standard,11,1781,1/7/2023,Spain,34,Female,Smartphone,1 Month
Basic,10,2168,2/7/2023,Italy,44,Male,Smartphone,1 Month
Premium,15,90,2/7/2023,Spain,29,Male,Tablet,1 Month
Basic,10,940,30-06-23,Spain,38,Male,Smartphone,1 Month
Standard,14,328,2/7/2023,United States,46,Male,Smart TV,1 Month
Premium,10,1669,2/7/2023,Canada,29,Male,Tablet,1 Month
Basic,12,1836,3/7/2023,United States,48,Female,Smart TV,1 Month
Premium,10,1010,29-06-23,United States,36,Male,Smart TV,1 Month
Basic,12,1508,1/7/2023,Canada,43,Male,Laptop,1 Month
Standard,15,2116,1/7/2023,United Kingdom,42,Female,Smart TV,1 Month
Standard,10,340,2/7/2023,Australia,50,Male,Tablet,1 Month
Basic,13,1042,29-06-23,Germany,39,Male,Laptop,1 Month
Premium,14,456,1/7/2023,France,43,Female,Laptop,1 Month
Basic,10,69,2/7/2023,Brazil,50,Female,Tablet,1 Month
Standard,12,1010,2/7/2023,Mexico,51,Male,Laptop,1 Month
Premium,14,2042,30-06-23,Spain,40,Male,Tablet,1 Month
Basic,10,2103,30-06-23,Italy,31,Male,Tablet,1 Month
Premium,12,413,3/7/2023,Spain,39,Female,Smartphone,1 Month
Basic,10,1924,1/7/2023,Spain,49,Female,Tablet,1 Month
Standard,10,1313,30-06-23,United States,34,Female,Laptop,1 Month
Standard,13,393,30-06-23,Canada,38,Male,Smartphone,1 Month
Basic,15,1462,2/7/2023,United States,36,Female,Laptop,1 Month
Premium,10,1200,1/7/2023,United States,42,Female,Smart TV,1 Month
Basic,14,1224,1/7/2023,Canada,50,Male,Tablet,1 Month
Standard,10,2030,1/7/2023,United Kingdom,42,Female,Laptop,1 Month
Premium,14,222,2/7/2023,Australia,35,Female,Laptop,1 Month
Basic,15,1915,30-06-23,Germany,46,Female,Tablet,1 Month
Premium,15,1799,1/7/2023,France,48,Male,Laptop,1 Month
Basic,12,1375,1/7/2023,Brazil,43,Female,Laptop,1 Month
Standard,13,401,1/7/2023,Mexico,51,Female,Tablet,1 Month
Standard,13,1789,3/7/2023,Spain,45,Male,Smart TV,1 Month
Basic,10,360,30-06-23,Italy,46,Male,Laptop,1 Month
Premium,12,1462,4/7/2023,Spain,42,Female,Laptop,1 Month
Basic,10,856,30-06-23,Spain,42,Female,Smartphone,1 Month
Standard,13,572,3/7/2023,United States,50,Male,Tablet,1 Month
Premium,12,1426,30-06-23,Canada,28,Male,Smart TV,1 Month
Basic,15,765,3/7/2023,United States,44,Female,Tablet,1 Month
Basic,10,287,1/7/2023,United States,36,Male,Tablet,1 Month
Basic,14,1929,2/7/2023,Canada,37,Female,Laptop,1 Month
Standard,12,1444,1/7/2023,United Kingdom,36,Male,Smartphone,1 Month
Premium,13,1707,3/7/2023,Australia,31,Male,Smartphone,1 Month
Basic,12,1754,30-06-23,Germany,36,Female,Smart TV,1 Month
Basic,15,477,3/7/2023,France,39,Female,Laptop,1 Month
Premium,11,1589,30-06-23,Brazil,45,Female,Laptop,1 Month
Standard,13,372,3/7/2023,Mexico,29,Male,Smart TV,1 Month
Standard,15,265,1/7/2023,Spain,45,Male,Smartphone,1 Month
Basic,11,229,3/7/2023,Italy,29,Male,Smart TV,1 Month
Premium,10,209,30-06-23,Spain,28,Female,Smart TV,1 Month
Standard,12,1049,2/7/2023,Spain,42,Female,Smart TV,1 Month
Basic,11,2067,1/7/2023,United States,36,Female,Smartphone,1 Month
Standard,15,904,3/7/2023,Canada,39,Male,Smart TV,1 Month
Premium,11,425,29-06-23,United States,36,Male,Smart TV,1 Month
Basic,15,2029,1/7/2023,United States,49,Male,Laptop,1 Month
Premium,11,915,1/7/2023,Canada,32,Female,Tablet,1 Month
Standard,12,1130,2/7/2023,United Kingdom,40,Female,Smartphone,1 Month
Basic,12,951,1/7/2023,Australia,34,Male,Smartphone,1 Month
Standard,15,582,1/7/2023,Germany,35,Male,Smartphone,1 Month
Premium,11,251,1/7/2023,France,44,Female,Smart TV,1 Month
Basic,13,1011,3/7/2023,Brazil,47,Female,Smartphone,1 Month
Standard,14,674,3/7/2023,Mexico,33,Female,Laptop,1 Month
Premium,11,541,2/7/2023,Spain,45,Male,Tablet,1 Month
Basic,14,1561,1/7/2023,Italy,42,Female,Tablet,1 Month
Premium,15,350,2/7/2023,Spain,46,Male,Tablet,1 Month
Basic,14,394,2/7/2023,Spain,51,Male,Tablet,1 Month
Standard,15,2046,2/7/2023,United States,41,Female,Laptop,1 Month
Standard,10,652,1/7/2023,Canada,50,Female,Tablet,1 Month
Basic,10,491,2/7/2023,United States,49,Female,Smartphone,1 Month
Premium,12,2163,3/7/2023,United States,34,Female,Laptop,1 Month
Basic,13,837,3/7/2023,Canada,38,Female,Tablet,1 Month
Standard,13,2036,1/7/2023,United Kingdom,46,Male,Smart TV,1 Month
Premium,14,1472,2/7/2023,Australia,42,Male,Smart TV,1 Month
Basic,12,1445,2/7/2023,Germany,46,Male,Laptop,1 Month
Premium,10,65,3/7/2023,France,51,Female,Smart TV,1 Month
Basic,12,1868,30-06-23,Brazil,35,Male,Smart TV,1 Month
Standard,10,1545,2/7/2023,Mexico,34,Female,Smartphone,1 Month
Standard,14,357,2/7/2023,Spain,31,Female,Laptop,1 Month
Basic,12,1032,3/7/2023,Italy,36,Female,Tablet,1 Month
Premium,15,2044,30-06-23,Spain,28,Male,Smart TV,1 Month
Basic,15,1753,1/7/2023,Spain,29,Female,Smartphone,1 Month
Standard,12,1455,2/7/2023,United States,42,Female,Smart TV,1 Month
Premium,10,1843,2/7/2023,Canada,35,Female,Smartphone,1 Month
Basic,12,2179,30-06-23,United States,32,Female,Laptop,1 Month
Premium,10,1745,1/7/2023,United States,43,Female,Tablet,1 Month
Basic,10,1339,2/7/2023,Canada,29,Male,Smartphone,1 Month
Standard,13,1578,2/7/2023,United Kingdom,35,Female,Tablet,1 Month
Standard,14,710,30-06-23,Australia,27,Female,Tablet,1 Month
Basic,13,460,1/7/2023,Germany,38,Male,Tablet,1 Month
Premium,13,1975,3/7/2023,France,33,Male,Smart TV,1 Month
Basic,11,1954,2/7/2023,Brazil,48,Male,Laptop,1 Month
Standard,10,337,2/7/2023,Mexico,51,Female,Laptop,1 Month
Premium,10,1036,1/7/2023,Spain,40,Female,Smartphone,1 Month
Basic,13,2103,3/7/2023,Italy,28,Male,Smartphone,1 Month
Premium,10,1556,1/7/2023,Spain,46,Female,Laptop,1 Month
Basic,12,591,1/7/2023,Spain,28,Female,Tablet,1 Month
Standard,12,1131,1/7/2023,United States,47,Male,Tablet,1 Month
Standard,10,128,2/7/2023,Canada,47,Male,Smartphone,1 Month
Basic,13,1178,1/7/2023,United States,50,Male,Smartphone,1 Month
Premium,13,1840,1/7/2023,United States,50,Female,Smart TV,1 Month
Basic,15,812,2/7/2023,Canada,29,Male,Smartphone,1 Month
Standard,15,865,1/7/2023,United Kingdom,38,Male,Tablet,1 Month
Premium,11,1646,3/7/2023,Australia,40,Female,Tablet,1 Month
Basic,14,1859,1/7/2023,Germany,43,Male,Smartphone,1 Month
Premium,14,1650,4/7/2023,France,27,Female,Smartphone,1 Month
Basic,10,868,30-06-23,Brazil,37,Female,Tablet,1 Month
Standard,12,1393,3/7/2023,Mexico,30,Male,Smartphone,1 Month
Standard,13,178,1/7/2023,Spain,50,Male,Laptop,1 Month
Basic,11,324,4/7/2023,Italy,51,Male,Smartphone,1 Month
Premium,13,492,1/7/2023,Spain,37,Female,Laptop,1 Month
Basic,14,319,2/7/2023,Spain,35,Female,Tablet,1 Month
Standard,12,1711,1/7/2023,United States,35,Male,Tablet,1 Month
Premium,11,1109,3/7/2023,Canada,46,Male,Tablet,1 Month
Basic,13,766,1/7/2023,United States,27,Male,Tablet,1 Month
Basic,13,1777,3/7/2023,United States,27,Male,Laptop,1 Month
Basic,13,2128,1/7/2023,Canada,39,Female,Laptop,1 Month
Standard,15,1720,3/7/2023,United Kingdom,51,Male,Tablet,1 Month
Premium,14,1007,1/7/2023,Australia,41,Male,Smartphone,1 Month
Basic,15,168,3/7/2023,Germany,30,Female,Smart TV,1 Month
Basic,11,734,30-06-23,France,46,Male,Laptop,1 Month
Premium,14,1080,2/7/2023,Brazil,31,Male,Tablet,1 Month
Standard,13,1394,1/7/2023,Mexico,49,Male,Smartphone,1 Month
Standard,12,1146,3/7/2023,Spain,39,Female,Tablet,1 Month
Basic,11,1361,1/7/2023,Italy,47,Male,Smartphone,1 Month
Premium,15,584,2/7/2023,Spain,36,Female,Tablet,1 Month
Standard,14,419,2/7/2023,Spain,42,Female,Tablet,1 Month
Basic,15,1495,2/7/2023,United States,28,Female,Smart TV,1 Month
Standard,15,2187,2/7/2023,Canada,43,Male,Tablet,1 Month
Premium,10,325,2/7/2023,United States,50,Female,Laptop,1 Month
Basic,15,1111,1/7/2023,United States,30,Female,Tablet,1 Month
Premium,10,1005,3/7/2023,Canada,34,Female,Laptop,1 Month
Standard,13,901,3/7/2023,United Kingdom,35,Female,Laptop,1 Month
Basic,11,914,2/7/2023,Australia,29,Male,Tablet,1 Month
Standard,15,1126,2/7/2023,Germany,33,Male,Smart TV,1 Month
Premium,12,803,3/7/2023,France,47,Male,Laptop,1 Month
Basic,14,1871,2/7/2023,Brazil,32,Female,Tablet,1 Month
Standard,15,1234,4/7/2023,Mexico,34,Female,Tablet,1 Month
Premium,13,1007,2/7/2023,Spain,46,Male,Smart TV,1 Month
Basic,15,612,3/7/2023,Italy,31,Male,Tablet,1 Month
Premium,12,1291,3/7/2023,Spain,40,Female,Tablet,1 Month
Basic,11,189,3/7/2023,Spain,38,Female,Tablet,1 Month
Standard,11,484,1/7/2023,United States,31,Male,Smart TV,1 Month
Standard,12,1169,2/7/2023,Canada,46,Female,Smartphone,1 Month
Basic,11,465,3/7/2023,United States,43,Male,Smart TV,1 Month
Premium,15,648,3/7/2023,United States,38,Female,Laptop,1 Month
Basic,15,154,30-06-23,Canada,38,Female,Laptop,1 Month
Standard,14,2142,2/7/2023,United Kingdom,27,Male,Laptop,1 Month
Premium,12,1573,2/7/2023,Australia,49,Female,Tablet,1 Month
Basic,11,959,3/7/2023,Germany,33,Male,Smartphone,1 Month
Premium,10,678,30-06-23,France,40,Female,Smartphone,1 Month
Basic,13,1029,2/7/2023,Brazil,27,Male,Tablet,1 Month
Standard,12,1664,2/7/2023,Mexico,28,Female,Laptop,1 Month
Standard,10,1800,3/7/2023,Spain,30,Male,Smartphone,1 Month
Basic,10,1839,30-06-23,Italy,33,Female,Smartphone,1 Month
Premium,15,1616,1/7/2023,Spain,51,Female,Tablet,1 Month
Basic,11,783,3/7/2023,Spain,51,Male,Tablet,1 Month
Standard,10,648,2/7/2023,United States,50,Female,Smartphone,1 Month
Premium,14,1319,30-06-23,Canada,46,Female,Tablet,1 Month
Basic,14,959,2/7/2023,United States,31,Male,Smart TV,1 Month
Premium,12,152,3/7/2023,United States,46,Female,Smartphone,1 Month
Basic,15,1816,2/7/2023,Canada,41,Male,Smart TV,1 Month
Standard,12,131,2/7/2023,United Kingdom,36,Male,Smartphone,1 Month
Standard,10,1148,2/7/2023,Australia,45,Female,Tablet,1 Month
Basic,10,411,3/7/2023,Germany,36,Male,Smartphone,1 Month
Premium,15,1872,2/7/2023,France,28,Male,Smartphone,1 Month
Basic,13,1522,2/7/2023,Brazil,45,Female,Smartphone,1 Month
Standard,10,1447,2/7/2023,Mexico,39,Female,Smartphone,1 Month
Premium,13,1792,2/7/2023,Spain,51,Female,Laptop,1 Month
Basic,10,284,1/7/2023,Italy,37,Male,Laptop,1 Month
Premium,11,2060,1/7/2023,Spain,33,Female,Tablet,1 Month
Basic,15,344,3/7/2023,Spain,32,Female,Smartphone,1 Month
Standard,14,1550,1/7/2023,United States,49,Female,Tablet,1 Month
Standard,10,237,3/7/2023,Canada,37,Female,Smart TV,1 Month
Basic,15,929,1/7/2023,United States,39,Male,Tablet,1 Month
Premium,14,1187,4/7/2023,United States,37,Male,Smart TV,1 Month
Basic,15,1639,1/7/2023,Canada,36,Female,Smart TV,1 Month
Standard,10,2042,3/7/2023,United Kingdom,34,Male,Laptop,1 Month
Premium,13,2161,1/7/2023,Australia,51,Female,Smartphone,1 Month
Basic,13,70,4/7/2023,Germany,41,Female,Tablet,1 Month
Premium,13,1140,1/7/2023,France,51,Male,Smart TV,1 Month
Basic,15,570,3/7/2023,Brazil,31,Female,Tablet,1 Month
Standard,13,1489,1/7/2023,Mexico,44,Male,Laptop,1 Month
Standard,15,1822,3/7/2023,Spain,50,Male,Smart TV,1 Month
Basic,14,261,1/7/2023,Italy,33,Male,Laptop,1 Month
Premium,11,1225,4/7/2023,Spain,44,Female,Laptop,1 Month
Basic,15,1503,1/7/2023,Spain,42,Female,Tablet,1 Month
Standard,13,1212,3/7/2023,United States,35,Male,Smart TV,1 Month
Premium,12,500,2/7/2023,Canada,48,Male,Smartphone,1 Month
Basic,13,1613,4/7/2023,United States,51,Female,Smartphone,1 Month
Basic,15,1961,1/7/2023,United States,44,Female,Smart TV,1 Month
Basic,11,1926,2/7/2023,Canada,37,Female,Smartphone,1 Month
Standard,15,1793,2/7/2023,United Kingdom,35,Female,Laptop,1 Month
Premium,11,1556,3/7/2023,Australia,32,Male,Laptop,1 Month
Basic,15,1591,2/7/2023,Germany,46,Female,Tablet,1 Month
Basic,14,931,2/7/2023,France,39,Female,Laptop,1 Month
Premium,11,1437,2/7/2023,Brazil,33,Female,Tablet,1 Month
Standard,10,1490,3/7/2023,Mexico,42,Male,Tablet,1 Month
Standard,14,598,3/7/2023,Spain,37,Female,Smartphone,1 Month
Basic,14,658,3/7/2023,Italy,27,Female,Smart TV,1 Month
Premium,14,755,2/7/2023,Spain,34,Female,Laptop,1 Month
Standard,13,185,3/7/2023,Spain,51,Male,Laptop,1 Month
Basic,12,633,3/7/2023,United States,42,Male,Laptop,1 Month
Standard,13,1273,5/7/2023,Canada,46,Female,Smart TV,1 Month
Premium,13,1454,2/7/2023,United States,36,Male,Laptop,1 Month
Basic,14,355,4/7/2023,United States,46,Male,Smartphone,1 Month
Premium,13,377,4/7/2023,Canada,51,Male,Smart TV,1 Month
Standard,12,1843,4/7/2023,United Kingdom,45,Female,Smartphone,1 Month
Basic,14,1982,2/7/2023,Australia,33,Male,Smartphone,1 Month
Standard,10,704,3/7/2023,Germany,31,Female,Smart TV,1 Month
Premium,12,977,3/7/2023,France,48,Female,Smart TV,1 Month
Basic,13,1916,4/7/2023,Brazil,47,Female,Laptop,1 Month
Standard,13,1073,1/7/2023,Mexico,43,Male,Smart TV,1 Month
Premium,14,1112,3/7/2023,Spain,39,Male,Tablet,1 Month
Basic,11,1680,3/7/2023,Italy,46,Male,Smart TV,1 Month
Premium,12,1115,4/7/2023,Spain,46,Female,Smartphone,1 Month
Basic,11,601,1/7/2023,Spain,40,Female,Tablet,1 Month
Standard,12,1235,2/7/2023,United States,38,Male,Smartphone,1 Month
Standard,13,230,3/7/2023,Canada,48,Female,Tablet,1 Month
Basic,15,512,3/7/2023,United States,38,Male,Tablet,1 Month
Premium,12,1489,1/7/2023,United States,43,Male,Laptop,1 Month
Basic,11,1860,2/7/2023,Canada,29,Male,Smartphone,1 Month
Standard,15,556,3/7/2023,United Kingdom,32,Female,Laptop,1 Month
Premium,10,1120,3/7/2023,Australia,32,Female,Laptop,1 Month
Basic,10,215,30-06-23,Germany,49,Female,Laptop,1 Month
Premium,14,1969,2/7/2023,France,51,Female,Laptop,1 Month
Basic,14,1818,3/7/2023,Brazil,32,Male,Smart TV,1 Month
Standard,12,1446,2/7/2023,Mexico,35,Female,Smart TV,1 Month
Standard,15,2088,1/7/2023,Spain,41,Male,Laptop,1 Month
Basic,12,1599,3/7/2023,Italy,43,Female,Smart TV,1 Month
Premium,12,744,3/7/2023,Spain,41,Male,Smartphone,1 Month
Basic,10,1552,2/7/2023,Spain,51,Male,Smart TV,1 Month
Standard,13,874,3/7/2023,United States,47,Female,Smart TV,1 Month
Premium,15,525,2/7/2023,Canada,39,Male,Smart TV,1 Month
Basic,15,736,3/7/2023,United States,51,Male,Smartphone,1 Month
Premium,13,990,2/7/2023,United States,39,Female,Tablet,1 Month
Basic,12,2035,2/7/2023,Canada,45,Male,Tablet,1 Month
Standard,13,334,2/7/2023,United Kingdom,42,Male,Laptop,1 Month
Standard,13,1385,2/7/2023,Australia,48,Male,Smartphone,1 Month
Basic,11,1919,2/7/2023,Germany,33,Male,Smart TV,1 Month
Premium,14,772,2/7/2023,France,47,Female,Smartphone,1 Month
Basic,11,970,4/7/2023,Brazil,51,Female,Smart TV,1 Month
Standard,11,1514,1/7/2023,Mexico,27,Male,Smartphone,1 Month
Premium,11,400,4/7/2023,Spain,44,Female,Laptop,1 Month
Basic,12,1078,2/7/2023,Italy,41,Male,Laptop,1 Month
Premium,11,1708,5/7/2023,Spain,37,Male,Smart TV,1 Month
Basic,15,2036,2/7/2023,Spain,48,Male,Tablet,1 Month
Standard,12,1997,4/7/2023,United States,30,Male,Smart TV,1 Month
Standard,14,2132,2/7/2023,Canada,44,Female,Smartphone,1 Month
Basic,14,1239,4/7/2023,United States,34,Female,Smart TV,1 Month
Premium,15,580,1/7/2023,United States,40,Female,Laptop,1 Month
Basic,14,1250,4/7/2023,Canada,28,Female,Smartphone,1 Month
Standard,15,573,2/7/2023,United Kingdom,44,Female,Tablet,1 Month
Premium,13,1482,3/7/2023,Australia,38,Female,Laptop,1 Month
Basic,14,1276,2/7/2023,Germany,49,Male,Smart TV,1 Month
Premium,13,1497,5/7/2023,France,32,Female,Smart TV,1 Month
Basic,14,1509,1/7/2023,Brazil,47,Female,Smart TV,1 Month
Standard,10,525,3/7/2023,Mexico,44,Male,Tablet,1 Month
Standard,12,1450,3/7/2023,Spain,33,Male,Smartphone,1 Month
Basic,15,1034,4/7/2023,Italy,32,Male,Laptop,1 Month
Premium,12,730,1/7/2023,Spain,27,Female,Smartphone,1 Month
Basic,11,2055,3/7/2023,Spain,37,Male,Laptop,1 Month
Standard,14,1462,3/7/2023,United States,34,Male,Tablet,1 Month
Premium,15,633,4/7/2023,Canada,40,Male,Smart TV,1 Month
Basic,12,1699,2/7/2023,United States,45,Female,Smart TV,1 Month
Basic,13,961,3/7/2023,United States,29,Female,Tablet,1 Month
Basic,14,2147,3/7/2023,Canada,35,Male,Smart TV,1 Month
Standard,10,398,4/7/2023,United Kingdom,38,Female,Laptop,1 Month
Premium,11,877,4/7/2023,Australia,48,Female,Smart TV,1 Month
Basic,12,1123,6/7/2023,Germany,36,Male,Smartphone,1 Month
Basic,10,924,3/7/2023,France,41,Male,Smart TV,1 Month
Premium,15,2110,3/7/2023,Brazil,27,Male,Smart TV,1 Month
Standard,12,297,4/7/2023,Mexico,41,Male,Smart TV,1 Month
Standard,13,1814,5/7/2023,Spain,42,Male,Laptop,1 Month
Basic,12,1643,3/7/2023,Italy,40,Female,Laptop,1 Month
Premium,13,601,4/7/2023,Spain,32,Male,Smart TV,1 Month
Standard,12,2065,4/7/2023,Spain,33,Male,Smart TV,1 Month
Basic,11,915,4/7/2023,United States,34,Male,Smartphone,1 Month
Standard,11,1783,2/7/2023,Canada,29,Male,Tablet,1 Month
Premium,14,1015,3/7/2023,United States,50,Male,Smart TV,1 Month
Basic,10,429,4/7/2023,United States,29,Female,Laptop,1 Month
Premium,13,1036,4/7/2023,Canada,40,Female,Tablet,1 Month
